experiment,simulations,exploration_weight,seed,evaluation_episodes,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate,total_decisions,total_search_time,mean_decision_time,decisions_per_second
simulation_budget,500,1.4142135623730951,1,20,0.5,0.5,0.0,-1.85,11.181569657252956,2.85,2.95,0.5,0.5,57,8.902987599372864,0.1561927649012783,6.4023452087044515
simulation_budget,500,1.4142135623730951,2,20,0.55,0.45,0.0,-1.9,11.532129031536197,3.9,3.5,0.4791666666666667,0.4,78,12.958942800178193,0.16614029230997682,6.019009513563673
simulation_budget,500,1.4142135623730951,3,20,0.7,0.3,0.0,0.8,9.4424573072903,4.2,3.5,0.5451190476190476,0.35,84,13.978960699168965,0.16641619879963054,6.009030414184776
simulation_budget,500,1.4142135623730951,4,20,0.45,0.55,0.0,-3.55,10.864966635935888,3.55,3.7,0.4288888888888889,0.35,71,11.59657330031041,0.16333201831423114,6.1224982726664186
exploration_weight,200,0.0,0,20,0.4,0.55,0.05,-6.15,13.911416175213795,5.6,3.6,0.38,0.35,112,8.48270699963905,0.07573845535392008,13.203332380190163
exploration_weight,200,0.0,1,20,0.5,0.5,0.0,-1.95,10.3560368867632,2.95,2.95,0.42321428571428565,0.3,59,3.8416335000656545,0.06511243220450262,15.358050162513337
exploration_weight,200,0.0,2,20,0.5,0.4,0.1,-5.6,15.580115532305914,7.5,3.5,0.3779166666666667,0.2,150,11.456036800635047,0.07637357867090032,13.093533358035737
exploration_weight,200,0.0,3,20,0.6,0.4,0.0,-1.85,12.174871662567947,4.85,3.5,0.4625,0.3,97,7.0027845001313835,0.07219365464052972,13.851632875205588
exploration_weight,200,0.0,4,20,0.35,0.65,0.0,-6.65,11.76552166289281,4.65,3.7,0.3125,0.3,93,6.450192900607362,0.06935691290975658,14.41817344582717
exploration_weight,200,1.4142135623730951,0,20,0.6,0.4,0.0,-1.7,11.541663658242689,4.7,3.6,0.526875,0.45,94,7.042321900255047,0.07491831808781965,13.34787039436463
exploration_weight,200,1.4142135623730951,1,20,0.6,0.4,0.0,-0.55,11.002158879056418,3.55,2.95,0.5416666666666667,0.5,71,4.903875600430183,0.06906867042859413,14.478344433078943
exploration_weight,200,1.4142135623730951,2,20,0.55,0.45,0.0,-1.75,10.118670861333518,3.75,3.5,0.43083333333333335,0.3,75,5.1215011002495885,0.06828668133666117,14.64414407649839
exploration_weight,200,1.4142135623730951,3,20,0.55,0.45,0.0,-2.4,10.81387996974259,4.4,3.5,0.38654761904761903,0.2,88,6.37621220049914,0.07245695682385386,13.801297264402717
exploration_weight,200,1.4142135623730951,4,20,0.5,0.5,0.0,-3.75,12.136206161729456,4.75,3.7,0.4489393939393939,0.35,95,7.226386199938133,0.07606722315724351,13.146266663801239
exploration_weight,200,5.0,0,20,0.6,0.4,0.0,-0.65,10.57957938672422,3.65,3.6,0.55125,0.45,73,5.265970298671164,0.07213657943385156,13.86259243019679
exploration_weight,200,5.0,1,20,0.7,0.3,0.0,1.85,10.0462679637764,3.15,2.95,0.6470238095238094,0.5,63,4.392047400353476,0.06971503810084884,14.344107487303004
exploration_weight,200,5.0,2,20,0.5,0.5,0.0,-2.35,10.827164910538677,3.35,3.5,0.4375,0.35,67,4.9180252001388,0.0734033611961015,13.623354349243488
exploration_weight,200,5.0,3,20,0.7,0.3,0.0,1.1,9.04930936591296,3.9,3.5,0.5855555555555555,0.4,78,5.664028100203723,0.0726157448744067,13.771118119487173
exploration_weight,200,5.0,4,20,0.55,0.45,0.0,-1.4,10.965400129498239,3.4,3.7,0.5125,0.4,68,4.692819699761458,0.06901205440825674,14.490222158643029
exploration_weight,200,10.0,0,20,0.6,0.4,0.0,-0.6,10.669582934679312,3.6,3.6,0.5708333333333333,0.5,72,5.382590700406581,0.07475820417231363,13.376458290718888
exploration_weight,200,10.0,1,20,0.8,0.2,0.0,3.9,8.842510955605313,3.1,2.95,0.7516666666666667,0.65,62,4.353465300286189,0.07021718226268046,14.241528466053062
exploration_weight,200,10.0,2,20,0.7,0.3,0.0,1.35,9.392949483522202,3.65,3.5,0.5933333333333334,0.45,73,5.169974800432101,0.07082157260865891,14.119991454097367
exploration_weight,200,10.0,3,20,0.75,0.25,0.0,2.7,8.905616205518852,3.3,3.5,0.6958333333333333,0.55,66,4.468180799623951,0.06769970908521139,14.771112217651233
exploration_weight,200,10.0,4,20,0.7,0.3,0.0,1.45,9.552355730394467,3.55,3.7,0.6291666666666667,0.5,71,4.886882400256582,0.06882932958107861,14.528690110544138
