method,grid,layout,seed,evaluation_seed,rows,cols,n_states,training_episodes,mcts_simulations,exploration_weight,training_time_seconds,mean_decision_time,decisions_per_second,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
Q-learning,6x6,6,0,10000,6,6,36,3000,0,0.0,0.46902350010350347,2.1551920007914304e-05,46399.57830359335,1.0,0.0,0.0,7.666666666666667,2.6246692913372702,3.3333333333333335,3.3333333333333335,1.0,1.0
MCTS,6x6,6,0,10000,6,6,36,0,200,0.5,0.0,0.11427007143252663,8.751197819898737,0.6666666666666666,0.3333333333333333,0.0,2.0,10.614455552060438,2.3333333333333335,3.3333333333333335,0.6666666666666666,0.6666666666666666
Q-learning,6x6,6,1,10001,6,6,36,3000,0,0.0,0.46667849994264543,2.4664999986998737e-05,40543.279972718985,1.0,0.0,0.0,5.0,1.4142135623730951,6.0,6.0,1.0,1.0
MCTS,6x6,6,1,10001,6,6,36,0,200,0.5,0.0,0.10770430999109522,9.284679508950738,0.3333333333333333,0.6666666666666666,0.0,-5.666666666666667,8.259674462242579,3.3333333333333335,6.0,0.3333333333333333,0.3333333333333333
Q-learning,6x6,6,2,10002,6,6,36,3000,0,0.0,0.4366493000416085,2.03866999829188e-05,49051.58759572957,1.0,0.0,0.0,6.333333333333333,2.6246692913372702,4.666666666666667,4.666666666666667,1.0,1.0
MCTS,6x6,6,2,10002,6,6,36,0,200,0.5,0.0,0.09326474997214973,10.72216459378935,0.3333333333333333,0.6666666666666666,0.0,-3.6666666666666665,9.672412085697939,1.3333333333333333,4.666666666666667,0.3333333333333333,0.3333333333333333
Q-learning,6x6,7,0,10000,6,6,36,3000,0,0.0,0.6238805999746546,2.0219340012408793e-05,49457.59848671079,1.0,0.0,0.0,4.0,4.546060565661952,7.0,7.0,1.0,1.0
MCTS,6x6,7,0,10000,6,6,36,0,200,0.5,0.0,0.10235571428867322,9.769850241870286,0.3333333333333333,0.6666666666666666,0.0,-4.666666666666667,10.498677165349081,2.3333333333333335,7.0,0.3333333333333333,0.3333333333333333
Q-learning,6x6,7,1,10001,6,6,36,3000,0,0.0,0.58233649993781,1.8116639996878804e-05,55197.87334584578,1.0,0.0,0.0,2.3333333333333335,2.494438257849294,8.666666666666666,8.666666666666666,1.0,1.0
MCTS,6x6,7,1,10001,6,6,36,0,200,0.5,0.0,0.1367694037121341,7.311576806350296,0.3333333333333333,0.6666666666666666,0.0,-11.333333333333334,10.842303978193728,9.0,8.666666666666666,0.2857142857142857,0.0
Q-learning,6x6,7,2,10002,6,6,36,3000,0,0.0,0.6011599999619648,1.7975739995017648e-05,55630.533167322785,1.0,0.0,0.0,6.666666666666667,2.0548046676563256,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,6x6,7,2,10002,6,6,36,0,200,0.5,0.0,0.09966095455456525,10.034019887422323,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,9.741092797468305,3.6666666666666665,4.333333333333333,0.6,0.3333333333333333
Q-learning,6x6,8,0,10000,6,6,36,3000,0,0.0,0.42189120000693947,1.827179999090731e-05,54729.14548635794,1.0,0.0,0.0,4.666666666666667,0.4714045207910317,6.333333333333333,6.333333333333333,1.0,1.0
MCTS,6x6,8,0,10000,6,6,36,0,200,0.5,0.0,0.11129253998709222,8.985328218009766,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,7.3181661333667165,5.0,6.333333333333333,0.6666666666666666,0.6666666666666666
Q-learning,6x6,8,1,10001,6,6,36,3000,0,0.0,0.3942557000555098,1.8146680016070606e-05,55106.49877081677,1.0,0.0,0.0,7.333333333333333,1.699673171197595,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,6x6,8,1,10001,6,6,36,0,200,0.5,0.0,0.11141604284057394,8.975368129264002,1.0,0.0,0.0,6.333333333333333,3.0912061651652345,4.666666666666667,3.6666666666666665,0.8888888888888888,0.6666666666666666
Q-learning,6x6,8,2,10002,6,6,36,3000,0,0.0,0.38488579995464534,1.8168519996106625e-05,55040.25645535753,1.0,0.0,0.0,6.333333333333333,1.699673171197595,4.666666666666667,4.666666666666667,1.0,1.0
MCTS,6x6,8,2,10002,6,6,36,0,200,0.5,0.0,0.11379117999846737,8.788027332289452,1.0,0.0,0.0,6.0,2.160246899469287,5.0,4.666666666666667,0.9583333333333334,0.6666666666666666
Q-learning,6x6,9,0,10000,6,6,36,3000,0,0.0,0.47774830006528646,1.7222960013896228e-05,58062.02877978912,1.0,0.0,0.0,4.666666666666667,1.8856180831641267,6.333333333333333,6.333333333333333,1.0,1.0
MCTS,6x6,9,0,10000,6,6,36,0,200,0.5,0.0,0.11367586667701188,8.796941947593043,0.6666666666666666,0.3333333333333333,0.0,-1.6666666666666667,10.842303978193728,6.0,6.333333333333333,0.6666666666666666,0.6666666666666666
Q-learning,6x6,9,1,10001,6,6,36,3000,0,0.0,0.4757842000108212,1.7884299997240307e-05,55914.96453058315,1.0,0.0,0.0,4.333333333333333,1.247219128924647,6.666666666666667,6.666666666666667,1.0,1.0
MCTS,6x6,9,1,10001,6,6,36,0,200,0.5,0.0,0.09846442857191764,10.155951895557976,0.3333333333333333,0.6666666666666666,0.0,-7.0,7.788880963698615,4.666666666666667,6.666666666666667,0.3333333333333333,0.3333333333333333
Q-learning,6x6,9,2,10002,6,6,36,3000,0,0.0,0.4682070999406278,1.7071940004825592e-05,58575.65102251635,1.0,0.0,0.0,7.666666666666667,2.0548046676563256,3.3333333333333335,3.3333333333333335,1.0,1.0
MCTS,6x6,9,2,10002,6,6,36,0,200,0.5,0.0,0.09078086251975037,11.015537551016758,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667,10.402991022884823,2.6666666666666665,3.3333333333333335,0.6666666666666666,0.6666666666666666
Q-learning,6x6,10,0,10000,6,6,36,3000,0,0.0,0.4250894000288099,1.7271800013259053e-05,57897.84499776106,1.0,0.0,0.0,8.0,0.816496580927726,3.0,3.0,1.0,1.0
MCTS,6x6,10,0,10000,6,6,36,0,200,0.5,0.0,0.08580965559101766,11.65370019390542,1.0,0.0,0.0,8.0,0.816496580927726,3.0,3.0,1.0,1.0
Q-learning,6x6,10,1,10001,6,6,36,3000,0,0.0,0.4008154000621289,1.733814000617713e-05,57676.313586331984,1.0,0.0,0.0,7.333333333333333,2.0548046676563256,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,6x6,10,1,10001,6,6,36,0,200,0.5,0.0,0.09757777271707627,10.248235557696823,1.0,0.0,0.0,7.333333333333333,2.0548046676563256,3.6666666666666665,3.6666666666666665,1.0,1.0
Q-learning,6x6,10,2,10002,6,6,36,3000,0,0.0,0.4058497999794781,1.8014859990216793e-05,55509.72922038047,1.0,0.0,0.0,5.333333333333333,0.9428090415820634,5.666666666666667,5.666666666666667,1.0,1.0
MCTS,6x6,10,2,10002,6,6,36,0,200,0.5,0.0,0.11117590002070826,8.9947551565918,0.0,1.0,0.0,-13.333333333333334,0.9428090415820634,4.333333333333333,5.666666666666667,0.0,0.0
Q-learning,8x8,1,0,10000,8,8,64,3000,0,0.0,0.5927396999904886,1.685520000755787e-05,59328.871775570755,1.0,0.0,0.0,6.333333333333333,3.0912061651652345,4.666666666666667,4.666666666666667,1.0,1.0
MCTS,8x8,1,0,10000,8,8,64,0,200,0.5,0.0,0.1062108666325609,9.415232468251338,0.6666666666666666,0.3333333333333333,0.0,2.3333333333333335,8.73053390247253,2.0,4.666666666666667,0.6666666666666666,0.6666666666666666
