grid,layout,rows,cols,n_states,seed,training_episodes,training_time_seconds,episodes_per_second,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
6x6,3,6,6,36,4,3000,0.3523349000606686,8514.626281652569,1.0,0.0,0.0,7.43,1.826225615853638,3.57,3.57,1.0,1.0
6x6,4,6,6,36,0,3000,0.5333392999600619,5624.937071437731,1.0,0.0,0.0,5.685,1.9838787765385264,5.315,5.315,1.0,1.0
6x6,4,6,6,36,1,3000,0.5488320000004023,5466.153577046894,1.0,0.0,0.0,6.005,2.0892522585843962,4.995,4.995,1.0,1.0
6x6,4,6,6,36,2,3000,0.5613024999620393,5344.711630899362,1.0,0.0,0.0,5.815,1.9546802807620483,5.185,5.185,1.0,1.0
6x6,4,6,6,36,3,3000,0.5682000999804586,5279.830116367764,1.0,0.0,0.0,5.795,1.9932322995576808,5.205,5.205,1.0,1.0
6x6,4,6,6,36,4,3000,0.549674200010486,5457.778443926912,1.0,0.0,0.0,5.705,2.0586342560056656,5.295,5.295,1.0,1.0
6x6,5,6,6,36,0,3000,0.3884228999959305,7723.540501941135,1.0,0.0,0.0,7.345,1.7905236664171742,3.655,3.655,1.0,1.0
6x6,5,6,6,36,1,3000,0.3863740999950096,7764.495601642936,1.0,0.0,0.0,7.195,1.7398203930291194,3.805,3.805,1.0,1.0
6x6,5,6,6,36,2,3000,0.3816554000368342,7860.4940470132615,1.0,0.0,0.0,7.215,1.8381444448138455,3.785,3.785,1.0,1.0
6x6,5,6,6,36,3,3000,0.36899650003761053,8130.158415308059,1.0,0.0,0.0,7.405,1.8441732565027613,3.595,3.595,1.0,1.0
6x6,5,6,6,36,4,3000,0.36768280004616827,8159.206793527746,1.0,0.0,0.0,7.13,1.8929078160333113,3.87,3.87,1.0,1.0
6x6,6,6,6,36,0,3000,0.45248229999560863,6630.093597095655,1.0,0.0,0.0,6.345,2.5031929610000105,4.655,4.655,1.0,1.0
6x6,6,6,6,36,1,3000,0.4266975000500679,7030.741918216033,1.0,0.0,0.0,6.305,2.573319840206421,4.695,4.695,1.0,1.0
6x6,6,6,6,36,2,3000,0.424198399996385,7072.162459890386,1.0,0.0,0.0,6.555,2.4732519079139514,4.445,4.445,1.0,1.0
6x6,6,6,6,36,3,3000,0.44003329996485263,6817.665845379482,1.0,0.0,0.0,6.69,2.272421615809883,4.31,4.31,1.0,1.0
6x6,6,6,6,36,4,3000,0.41730259999167174,7189.027818326251,1.0,0.0,0.0,6.58,2.508704845134238,4.42,4.42,1.0,1.0
6x6,7,6,6,36,0,3000,0.5891960000153631,5091.684261131739,1.0,0.0,0.0,4.96,3.364282984530285,6.04,6.04,1.0,1.0
6x6,7,6,6,36,1,3000,0.5886302000144497,5096.578462889529,1.0,0.0,0.0,4.86,3.232707843279377,6.14,6.14,1.0,1.0
6x6,7,6,6,36,2,3000,0.6281995999161154,4775.552229578935,1.0,0.0,0.0,5.125,3.3150226243571854,5.875,5.875,1.0,1.0
6x6,7,6,6,36,3,3000,0.6321170000592247,4745.956839823833,1.0,0.0,0.0,4.77,3.3581393657798064,6.23,6.23,1.0,1.0
6x6,7,6,6,36,4,3000,0.6563990999711677,4570.390178980707,1.0,0.0,0.0,4.435,3.3325328205435576,6.565,6.565,1.0,1.0
6x6,8,6,6,36,0,3000,0.4740439000306651,6328.527800496821,1.0,0.0,0.0,6.66,2.384197978356663,4.34,4.34,1.0,1.0
6x6,8,6,6,36,1,3000,0.4486342000309378,6686.962339904359,1.0,0.0,0.0,6.705,2.3702267823986802,4.295,4.295,1.0,1.0
6x6,8,6,6,36,2,3000,0.4252828999888152,7054.127970061573,1.0,0.0,0.0,6.655,2.442534544279773,4.345,4.345,1.0,1.0
6x6,8,6,6,36,3,3000,0.40858269995078444,7342.454784212261,1.0,0.0,0.0,6.955,2.4500969368578054,4.045,4.045,1.0,1.0
6x6,8,6,6,36,4,3000,0.46407720004208386,6464.441691442612,1.0,0.0,0.0,6.905,2.407483125589876,4.095,4.095,1.0,1.0
